GPE	NORP	ORG	PERSON
Newport Beach	American	the U.S. Public Health Services	marijuana
California	Californians	National Eye Institute	Brad Gates
New York		Birch Street	Marijuana
NEWPORT BEACH		Project of Citizens for Economic Progress	George Soros
		The Food and Drug Administration	Marijuana
		American Academy of Ophthalmology	Lobby Supports
		the National Institute on Allergy and Infectious Diseases	Barry McCaffrey
		the personal medical purposes	Pete Wilson
		Nb	CA 92660
		the Dru Enforcement Administration	Marinol
		The “Medical Use” Initiative	marijuana
		the American Medical Association	Dianne Feinstein
		National Institute for Neurological Disorders and Stroke	Bob Dole
		National Cancer Institute	
		American Glaucoma Association	
		National Institute of Dental Research	
		Initiative	
		Citizens for a DRUG-FREE California	
		National Multiple Sclerosis Association	
		THC	
		PHONE	
		Clinton Administration	
		The California State Sheriffs Association	
		The California Police Chiefs Association	
		The California Narcotic Officers Association	
		The National Organization for the Reform of Marijuana Laws (NORML	
		FDA	
		The California Medical Association	
		The California Medical Association Opposes Proposition 215	
		The California Peace Officers Association	
