GPE	ORG	PERSON	NORP
LOS ANGELES	California Senate Office of Research	Kate Sproul	Californians
Washington	Maps and Government Information	Ginny Daley	Reitman
California	UNIVERSITY OF CALIFORNIA	Elisabeth Kersten	Reitman
U.S.	Personnel Administrator	Rebecca LaVally	lesbian
Massachusetts	Second Argument	Richard G. Polanco	
Varat	The U.S. Supreme Court	Professors Landsberg	
Seattle	First Argument	Mulkey	
Washington	Program	Davis	
U.S.	Los Angeles Board of Education	Korematsu v. United States	
Hunter	Third Argument	Landsberg	
Varat	Seattle School District	Professors Grodin	
Seattle	Supreme Court	Hunter	
Los Angeles	the Supreme Court	Crawford	
California	The Supreme Court	Varat	
Crawford	decision-	Romer v. Evans	
Colorado	the Colorado Supreme Court	Erickson	
Colorado	the U.S. Supreme Court	Landsberg	
Seattle	Legislature	Grodin	
Varat	Angeles Board of Education	Hunter	
U.S.	Colorado Supreme Court	Romer	
Washington	the U.S. Supreme Court	Varat	
Varat	U.S. Supreme Court	Romer v. Evans	
Varat	Chott Rights Tadttait	atin tiene	
Varat	the U.S. Supreme Court	Landsberg	
California	Supreme Court	Chil	
SANTA CLARA COUNTY	Affirmative Action Programs	Professors Chemerinsky	
California	Regents of the University of California v. Bakke	Bates	
California	Seattle School District	Grodin	
Los Angeles	the state Department of Fair Employment and Housing	Hunter	
Sacramento	Sec	Romer	
San Francisco	Crawford	Varat	
Varat	Legislative Repeal of State Laws Authorizing Affirmative Action	Professors Grodin	
California	Iflocal	Varat	
the United States	Legislature	Voluntary Versus Compelled	
the United States Constitution	California Civil Rights Initiative	Grodin	
California	California State Senate	Varat	
U.S.	Senate	Bakke	
Washington	Ing TENTH SENATORIAL OrSTRICT 	Professors Grodin	
Varat	ALAMEDA	Varat	
	AZ	Grodin	
	California Constitution	Landsberg	
	the California Civil Rights Initiative	Landsberg	
	Senate	Professors Grodin	
	CCRD	Grodin	
	University of California	Lockyer	
	University of Southern California Law Center	Varat	
	Hastings College of Law	Professors Grodin	
	McGeorge School of Law	Landsberg	
	School of Law	pro Tempore	
	the state Court of Appeal	SANTA CLARA	
	Associate Justice Byron	BILL LOCKYER	
	Michigan Law Review	ccccccscsseee aiccosensectattacccccsdenctene	
	the U.S. Supreme Court	Reereiscceccessscecescsesssessccsee al Text	
	Harvard Law Review	Bill Lockyer	
	USC	Pro Tempore	
	the Warren Christopher Commission	Erwin Chemerinsky	
	Yale Law Journal	Jonathan D. Varat	
	Agricultural Labor Relations Board	Brian K. Landsberg	
	the Independent Commission	Joseph Grodin	
	the U.S. Department	Joseph Grodin	
	Justice	Jonathan D. Varat	
	Hastings College of Law	Brian K. Landsberg	
	McGeorge School of Law	Grodin	
	LAPD	Erwin Chemerinsky	
	the UCLA School of Law	Professors Grodin	
	the Los Angeles	Article IX	
	the Civil Rights Division	Article XI	
	the California Supreme Court	Landsberg	
	Texas Law Review	Professors Grodin	
	the “California Civil Rights Act	Evans v. Romer	
	the California Civil Rights Initiative	Chemerinsky	
	the University of	Landsberg	
	the California Senate		
	Seattle School District		
	the U.S. Supreme Court		
	SG		
