GPE	NORP	ORG	PERSON
Orange County	Congressional	Assembly	Vic Fazio
States	Republicans	CALIFORNIA CAMPAIGN TEAM TAPPED	Jane Harman
Los Angeles	Republican	the California State Assembly	Claude Taylor
the Inland Empire	Democratic	the Republican Party	The Dean
Lefever	Democrats	the Democratic Rapid Response Team	Tim Lefever
California	American	Huffington	Gore
Houston	Americans	The Voice of Victory ‘	Dianne Feinstein
SAN DIEGO	Californians	Senate	Fazio
MANHATTAN BEACH	American	State Senate	Umberg
ATLANTA	Scholastic	State	Brown
ILLINOIS	Americans	Lefever	Bill Carrick
GEORGIA		Jane Harman	Thomas Umberg
America		CHALLENGES	Solano
CHICAGO		RADISSON	Vic
California		CA	George Brown
San Francisco		Congress	Susan Brooks
California		OLYMPICS	Clinton
San Francisco		the Union Address	Tom Umberg
Los Angeles		E-BOARD	Carrick
		the House Party Program	Yolo
		House Party Headquarters	Ann Lewis
		SACRAMENTO	Michael Huffington
		-15	Feinstein
		VBM	GORE
		CONGRESS	Clinton
		ASSEMBLY	Justine
		ELECTORAL	Melanie
		House Party Kit	Brady Bill
		The Federal Budget Deficit  Total Total} Total	Ellen Tauscher
		MMMM Federal!	Clinton
		Increased Access to Education	Teen
		Communities	Clinton Connects
		Concord High School	Bill Clinton
		Netcom	Safer Streets
		State Assembly	Jeff Smith
		AT&T	Assault Weapons Ban
		Sun Microsystems	Gail Murray
		Senate	Editor
		the Family and Medical Leave Act	Clinton
		Apple	Dole
		ON THE GOLDEN STATE	Marcia Lewis Smith
		State	Mike Altschule
		the National Service Program	Claude Taylor
		the Administration	
		California Victory ‘	
		The Coordinated Campaign of the California Democratic Party	
		the State Assembly	
		The Voice of Victory ‘	
		Senate	
		the House of Representatives	
		State	
		the Coordinated Campaign of the California Democratic Party	
		pap2A22y UC	
		Clinton Administration	
		County Operations	
