GPE	ORG	PERSON	NORP
California	State Board of Equalization  Coordinated	Sunshine Canyon	DEMOCRAT
Sacramento	the Transportation Commission	Jim Dantona	
Ventura County	Legal Counsel	Gente	
Ste	State	Valerie Salkin	
California	State Board of Equalization	Tony Cardenas	
	Curb	Syimar CA 91342	
	State Board of Equalization	Foster Parent	
	Panorama City Graffiti Busters	¢	
	Lakeview Terrace Tree Planting Program	Valerie Salkin	
	Pacoima SDA Homeless Food Program	¢ Volunteer	
	FPPC		
	Candidate		
	School & neighborhood		
	Coordinated		
	Legal Counsel		
