GPE	NORP	ORG	PERSON
Sacramento	Californians	Safe Highways & Bridges	Bob Remen
California	Southern	Commerce Incorporated	Paul B. Holm
Sacramento	Californians	California Transportation Commission	Kirk West Dave Watts
Los Angeles	Californians	California Chamber Granite Construction	Kin Qed
California	Southern	Charlton Research Group	Bridges
Mill Valley	Californians	State Transportation Improvement Plan	Nielsen
California	Californians	Merksamer	Mike Testa
Sacramento	Californians	Labor	Emeritus
California	Californians	A Coalition of Business, Construction Industry	Joe Penzien
California	Californians	Safe Highways & Bridges	Bridges
Sacramento	Californians	Mueller & Naylor	Kirk West 
Sacramento	Californians	Parrinello	David Watts
Contmoenas	ian	Co-Chairs	Maurice Hannigan Retired
California	Californians	Granite Construction Company	Kirk West
Sacramento	Southern	UC Berkeley	Richard Andrews
EQ		Northridge	Bridges
California		Califomia Chamber	Bridges
Sacramento		Northridge	David Watts
California		California Chamber of Commerce	Kirk West
Sacramento		State Office of Emergency Services	Bri
California		ON THE SEISMIC	Pm Se
California		Requires State Auditor General	Se 1  1D
California		Requires State Auditor	Safe Hii
UU		Co-Chairs	David Watts
UG		California Chamber	Bri
Santa Barbara		Granite Construction Company	Bridges
San Diego		the State Transportation Improvement Plan	Kirk West 
Los Angeles		Co-Chairs	Comnmele
San Mateo		the Northridge Safe Highways & Bridges	David Watts
Santa Clara		Retrofit Bond A  Means To The 	Bridges
El Dorado		FACTS	David Watts
Fresno		Safe Highways & Bria	Kirk West 
San Francisco		Califomia Chamber Proposition 192	Michael Testa
Kings		STIP	Paul B. Holm
Santa Cruz		the State Transportation Improvement Plan	Kirk West
Marin		Co-Chairs	Dave Watts
Nevada		FACTS	Bridges
Del Norte		Califomia Chamber Proposition 192	Lassen
Sacramento		Granite Construction e EARTHQUAKE REINFORCEMENT WORKS Every	Delay
Los Angeles		STIP	
		Co-Chairs	
		Granite Construction Company	
		Loma Prieta	
		Commerce	
		Northridge	
		CalTrans	
		Northridge	
		the Loma Prieta	
		California Taxpayers Association	
		California Chamber of Commerce	
		California Transit Association	
		Granite Construction Incorporated	
		Labor	
		the California Transportation Commission	
		A Coalition of Business, Construction Industry	
		Safe Highways & Bridges	
		Charlton Research Company	
		the State Transportation Improvement Plan	
		California Chamber of Commerce	
		STIP	
		Yolo	
		Imperial	
		Merced 4 Sonoma	
		Colusa 7 Plumas 1	
		Humbolt	
		Contra Costa 21	
		Safe High & Brid	
		Seismic Retrofit Bond Act	
