GPE	NORP	ORG	PERSON
Burlington	Democrats	The Natural Law Party	Hagelin
Vermont	Republicans	Natural Law Party	Mike Tompkins
Missouri	Republican	Party	John Hagelin
Fayette	democratic	the Federal Election Commission	Ross Perot
America	Americans	Fastest Growing New Party	Bob Dole
Tunning		the Natural Law Party’s	Pat Buchanan
Fairfield		CityVote	Hagelin
Switzerland		The Natural Law Party	Mike Tompkins
CERN		The Presidential Ticket	John Hagelin
America		the Stanford Linear Accelerator Center	Ross Perot
		the European Laboratory for Particle Physics	Earl Warren
		Party	Tompkins
		Harvard	
		Maharishi European Research University	
		the Institute of Science	
		Times-Mirror	
		National Merit Scholar	
		Institute	
		Presidential Scholar	
		the Institute of Science, Technology and Public Policy	
		quantum	
		Harvard University	
		the Natural Law Party	
