GPE	ORG	PERSON
WILL	UCLA	A.M. - 2:00 P.M.
US	ISSUES	Gov Info
CALIFORNIA	anc	Ralph Nader
California	HMO	Harvey
Santa Monica	The California Nurses Association	Rae Nae
California	Hospitals	Jennifer Sauer
California	Health Services	Ralph Nader
San Francisco	Consumers and Nurses for Patient Protection/	Maggie Hallahan
Network Images	CA 90405	Harvey Rosenfield
Santa Monica	the Department of Health Services	Suite
America	HMO	Malik Hasan HSI
California	The California Nurses Association	Westcott W. Price
UC	CA 90405	Employer
Nursing	Hospitals	Richard Scrushy
UC	Public Media Center	David Jones Humana
	Consumers and Nurses for Patient Protection/	Jeffrey Barbekow Tenet
	the health insurance company	Leonard Abramson
	HMOs	Richard Scott Columbia
	Please	Heidi Crooks
	STATE	Cuts
	Taxpayer and Consumer Rights	Westwood Blvd
	the California Nurses Association	Barbara Grasso
	FHP	Barbara Grasso
	U.S. Healthcare	~ ja
	Consumers and Nurses for Patient Protection	
	Alan Hoops PacifiCare Health Systems	
	TakeCare	
	Daniel Crowley Foundation Health Corp.	
	PHONE	
	Health Net	
	INGA	
	UCI Nurses	
	UC NURSES	
	UCLA/UCI	
	UCSF	
	UCLA	
	UCD	
	UCSD	
	UCLA	
	UC	
	the UCLA Medical Center	
	the California Nursing Practice Act	
	University	
