GPE	ORG	PERSON	NORP
Washington	TX	Bob Dole Remarks	American
WasHINGTON	Medicare	Bush	Congressional
America	FACTS	Clinton	Republican
S-21869	Earned Income Tax Credit Expansion	Dole	American
Head Start	CQ Almanac	Bob Dole	Congressional
America	the New Hampshire Legislature	GORE	Americans
Kuwait	Social Security	Reagan	Californians
Irbil	the New Hampshire State Legislature	P.O. Box	Congressional
Israel	any Republican Administration	Dole Remarks	Republicans
p.290	H&R Block	Bush	Republican
Iraq	H&R Block Analysis	Bob Dole Speech	Iraqi
Saudi Arabia	GENERAL COMMITTEE	Clinton	Arab
NRA	GOREQG	Dole	
Congressional Record	the Bureau of Economic Analysis	Dole-Gingrich	
Kuwait	CO Almanac	Al 	
Israel	Barron’s	Reagan	
pp.	OMB	Presidents Reagan	
California	TX	Bob...Don’t	
the Occupied Territories	Medicare	Don Imus Show	
Haiti	Economist	Clinton	
Bosnia	Census Bureau	Dole	
	the Census Bureau	Bob Dole	
	CBO	P.003	
	FACTS	Via Fax	
	Census Bureau	Brady	
	the Bureau of Labor Statistics	Reno	
	Social Security	Barry McCaffrey	
	CLAIM	Brady Bill	
	Budget Historical Tables	Saddam	
	The Bureau of Labor Statistics	Bush	
	Campaign Co-Chairman	Clinton	
	the American Conservative Union	Orrin Hatch	
	TX	Dole	
	AP	Bob Dole	
	Border Patrol	CQ Almanac	
	Senate Finance Committee	Via Fax -	
	Surgeon General Koop	Bill Clinton	
	Concord Coalition	Saddam Hussein	
	Congress	Saddam	
	Time	Clinton	
	FBI	Dole	
	Washington Post	Bob Dole	
	Time, Business Week	Actuary	
	NBC	Newt Gingrich	
	the Transportation Department	Bob Dole	
	ABC	Via Fax	
	Koop		
	FACTS		
	the Federal Trade Commission		
	Unbelievably		
	New York Times		
	Senate		
	Better America Foundation		
	TX		
	Department of Justice/ Immigration and Naturalization Service		
	the Office of National Drug Control Policy		
	CQ Almanac		
	GOP		
	Cabinet		
	The Department of Justice		
	Department of Health		
	House Appropriations Subcommittee		
	ONDCP		
	FACTS		
	CQ		
	the Drug Czar’s		
	Senate Intelligence Gommittee		
	DCI Deutch		
	Substance Abuse/Mental Health Agency		
	CLAIM		
	Houston Chronicle		
	Federal News Service		
	American Conservative Union Speech		
	TX		
	Medicare		
	Kansas City Star		
	Conference Board		
	COQ Weekly		
	FACTS		
	Bureau of Labor Statistics		
	Washington Post		
	New York Times		
	Gingrich-Dole Congress		
	the Trust Fund		
	Reader’s Digest		
	the Bush Administration		
	the New York Times		
	TX		
	CBO		
	FACTS		
	CQ Almanac		
	Senate		
	the Education Department		
