GPE	NORP	ORG	PERSON
D.C.	American	S00-ner-child	Clinton
Washington	Americans	Sincs	Dole
Cunton	American	the U.S. Constinution	Bob Dole
individuais	Americans	IDO AD Slay	Durcen
America	Amencans	IRS	Rotert Lighthizer
Washington	Americans	PROBLEM	Biil Clinton
U.S.	American	Shi&	Bill Clinton
America	casn	RS	Bi
Newwon	American	Shi& the burden	EDUCATION
Washington	Americans	@TINZ	Allow
U.S.	American	IRS	Bob Dole
Aémunisrauon	Secencan	Opportunity Scholarships	Se
States	Abolish	the Opportunity Scholarships	Joixzand
America	American	WOO	T2O_2¢ searcn anc piracemeN
Washington	Congressional	ASW	Assistance S
DC	Republican	anc	Clinton
U.S.	Democrats	the Comprehensive Regulatory Reform Act	Asescuss
kx	Republicans	Busmens Adaunisuraion	Clinton
Florida	Democratic	Administration	Susinesses
Washington	Americans	aew	Dole
the District of Columbia	Republican Governors	OMS	Bob Dole
U.S.	Republican	Otiice	evea
xkKwK	Single	McDonald	Bob Dole
Washington	Californians	Common-Sense Legal Reform 	Sys
DC	bureaucrats--	the Smail Business Administration	Clinton
Laos	Americans	GAO	Yala
Washington	American	IRS	Bob Dole's
Vietnam	Republicans	Management and Budget	Je availabie
Washington	Democratic	wanton misconduct	Policy
Vietnam	Americans	UG She	Bob Doles
California	Americans	Limit	Clinton
Washington	Bosnian	Happiness	Bob Dole
Remarks	Czech	the U.S. Senate	Robert E. Lighthizer
Washington, DC	East European	Believes	¢
Fresno	American	the Democratic National convention-- “America Reads”	Bill Clinton
San Diego Union-Tribune	Cuban	First Street	Goals 2000
the United States	democratic	INCREASES	problems--
Washington, DC 20002	Americans	Clinton Administration	Clintons
America	Congressional	the Weekly Standard	Dole/Kemp '
History	Republican	NEA	Ronald Reagan
America	American	NEA-PAC	The Phoenix Gazette
Washington	Democrat	Forbes	George Bush
the District of Columbia	American	the National Education Association	Robert E. Lighthizer
America	Americans	the National Education Association Board of Directors PAC Meeting	Bill Clinton
The United States	Californians	the Democratic Party	DOLE KEMP
Russia	American	the Democratic Party’s	Dole/Kemp
Poland	Congressional	the White House	Clinton
Israel	Republicans	First Street	Dole
Hungary	Republican	Address	Bill Clinton’s
China	Americans	The Wall Street Journal	Bob Dole
us	Democrats	Times-Union	Robert E. Lighthizer
Cuba	Independents	Atlanta Constitution	Dole/Kemp ‘
Bosnia	Republican	the Democrats	Bill Clinton
Bosnia and Herzegovina	Americans	Medicare	DOLE KEMP
Taiwan	American	Congress	Atomic Veterans ‘
America	Republicans	the Clinton Administration	Dole
U.S.	Republican	Social Security	Bob Dole
Florida	Americans	First Street	Bob Dole-
Mexico	American	IRS	Robert Lighthizer
Washington, DC	American	2.4%--	Dole
Briering	Americans	the Bronze Star	DOLE
Washington	Republican	the Department of Veterans Affairs	OC
America	Soviet	Mountain Division	Rotert Lighthizer
O.C.	Americans	DOLE	BOB'‘DOLE
U.S.	Republican	Senate	¢
California	American	First Street	Bob Dole
Washington, DC	Americans	MIA	Harry S. Truman Award
America	DEMOCRAT	Authonzed	L. Mendel Rivers Award
Washington	Sourwe	Veterans Institute's Life Service Award	Pete Wilson
DC	Americans	Medicare	Ben Nighthorse
D.C.	Republican	GI Bill	Wacepo
Russell	Cagop	the National Guard Association’s	Clinton
America	Ripon	AMVETS	Robert E. Lighthizer
Kansas	Democrats	the Senior Army Reserve Commanders Association	Birt Crinton
Italy	Republicans	the Department of Defense	Bruce Babbitt
Fillmore	Republican	NCOA	Henry 
Washington	Republicans	VFW	Clinton
Maryland	Federalists	The New York Times Magazine	John Sweeney
DC	Republican	Raleigh News	Fresno Bee
D.C.	democrat	National Journal	Porterville Recorder
Los Angeles	American	Dole/Kemp '	Strengthen Programs
Bethesda	democrats	the Interior Bruce Babbitt’s	Clinton
the United States	Democrats	First Street	Dole
America	republican	California Republican Party	Bill Clinton’s
Buffalo	Democrat	Babbitt	Bob Dole
California	Calon	The Clinton Administration	Robert E. Lighthizer
New York	Republican	species--	Dole/Kemp
Washington	Democratic	the Bush Administration	Citizens Bob Dole Will Protect
America	American	D-CO	Sos
America	Congressional	The Rocky Mountain News	Clinton
the Czech Republic	Sunes	Cisneros	Dole
Russia	§	Farm Workers	Bill Clinton's
Poland	American	Business Daily	Bill Clinton
Israel	Scilowing	Souther California	Children
Hungary	pian	the Sequoia National Forest	Clinton
Bosnia	Americans	Congressional Quarterly Almanac	Bob Dole’s
U.S.		Housing and Urban Development	Bob Dole
the United States		AFL-CIO	Middle-
Washington		the Clinton Administration	Bill Clinton's
America		the Sierra Nevada	Bill Clinton
the United States of America		the United Farm Workers	Dole
America		Sweeney	Bob Dole
U.S.		The Clinton Administration	Encourage
America		Advocate	Medicaid Should Serve Low-Income Families
U.S.		Medicare	Bill Clinton's
America		Medicaid	Robert Lightniser
California		Cabinet	Bob Dole
Sacramento		Social Security	Robert Lighthieen
Washington, DC		Senate	Bob Dole's
America		First Street	Castro
Ripon		KEMP	Dole
Michigan		Improve	Bob Dole
Ohio		Medical Savings Accounts	Bill Clinton
Mich.		the Largest Tax Increase	Kober
Nebraska		Dole-Kemp Administration	Bill Clinton's
Whigs		War on Small Business  Small	Duie
Jackson		NEA	Dole
Wisconsin		the National Assessment of Educational Progress	Bob Dole
Kansas		the Department of Education	Lightsizer
Maine		Opportunity Scholarships	Teddy Roosevelt
Philadelphia		OC 2002	Autnorized
Massachusetts		the National Education Association	Marijuana
New York		the White House	Joycelyn Elders
France		Senate	Clinton
Jefferson		Income Parents With School Choice	Robert E. Lighthizer
Califoria		Better America	¢ Teen marijuana
New York's		SAT	Bill Clinton
Congresnonas		DuleiKer	DOLE KEMP
Washington		Medicare	Charles Rangel
America		Ireasurer	Janet Reno
America		Medicaid	Mike McCurry
America		Cabinet	Bill Clinton
		Social Security	marijuana
		Sorees	diana
		Medical Savings Accounts	Clinton
		Propose Innovative Solutions	Dole
		NATO	Bob Dole
		U.N.	DOLE
		U.N	Bill Clinton
		the Free World	Amenca
		the Superfund Program	Robert Lighcuzer
		the Florida Everglades and America	O.K.
		the Wetlands Reserve Program	Bob Dole
		Endangered Species Act	Robert E. Lighthizer
		the Environmental Quality Incentive Program	Bos DOLE
		+ Introduced the Private Property Rights Act	Bill Clinton
		the National Environmental Policy Act	Dole/Kemp
		National Parks	marijuana
		Conservation Reserve Program	Bush
		CNN News	Elizabeth Hanford Dole
		the Select Committee on Narcotics	Dole
		MTV	Bob Dole
		Congress	DOLE
		DEA	Robin
		First Street	BOB DOLE
		National Security Council	Robert Lighthizer
		White House	Reagan
		The Clinton Administration	Oakleaf Cluster
		Dole/Kemp	Jeane Kirkpatrick
		the Secret Service	Joanne Main
		Cocaine	Jack
		S10 First Street	Joanne
		the Clinton Administration's	Bob Dole
		the Clinton Administration	Robert E. Lighthizer
		White House	Judith
		Clinton Administration	Jennifer
		First Street	Dole/Kemp ‘
		the Justice Department	Newt Gingrich
		KEMP	James
		the Clinton Administration	Jeffrey
		the Des Muines Register	DOLE KEMP
		the American Red Cross	Jack Kemp
		Senate	JACK KEMP
		the House of Representatives	Kemp
		Bronze Star	William Bennet
		First Street	Platform
		FAMILY	Dole
		Tenth Mountain Division	Robert Lighthizer
		the Republican Party	Clinton
		Domestic Policy Committee	Clinton
		the Heritage Foundation	Bill Clinton's
		Occidental College	Bill Clinton
		Congress	Platform
		the AFL Players Association	marijuana
		House of Representatives	Platform
		Cabinet	¢
		Housing and Urban Development	Clinton
		the American Football League	Platform
		the Board of Howard University	Clinton
		First Street	Jack Kemp
		the International Democratic Union	Bob Dole
		Board	Bob Dole
		the San Diego Chargers	Colin Powell
		House	Al Gore
		the National Commission on Economic Growth and Tax Reform	Clinton
		Internal Revenue Service	Bill Clinton's
		Social Security	Bill Clinton
		GOP	Bob Kerry
		First Street	Clinton
		American Dream	Dole
		Expansion of Individual Retirement Accounts	Cconsmie Commie
		The Republican Party	Bob Dole
		the Republican Party	Joint Economie Comminen
		ECONOMIC GROWTH & JOBS	Bill Clinton's
		KIDS & DRUGS	Bill Clinton
		A Presidential Commission	LU
		Enactment of state truth	br Polley Anatysis
		the Republican Party	Bob Dole's
		The Republican Party	Bill Clinton
		EDUCATION	Treasurer
		MSA	Dole
		the Republican Party	Bob Dole
		NATO	Robert E. Lighthizer
		the Republican Party’s	Jack Kemp
		Supporting America’s	Jack Kemp
		GPA	Dole/Kemp
		GRE	God
		KEMP	Dole] Vem
		GMAT	Repuleli Coy Vat
		Campuses	teri
		Direct Lending Program	Dole ‘nteracuve
		Congressional Budget Office	Register| Volunteers
		FSM	Dole/Kemp '
		Sirmuniseed Sxpeccations	Ihe Dole
		the U.S. Coperenent of Lasers	Se
		the California Headquarters	C1 Register Republicans  Will Telephone  Distribute
		First Street	jo The
		KEMP	Zip
		Dole/Kemp	Sete
		GOTV	Abraham Lincoin
		Sceecmes	Clty
		Team	Bovay
		LSast	CO Distribute
		Newsom	W. Magnolia Bivd
		Slavery	musi ater Lincoin
		Committee of five	weil
		O Werk on	Jefferson
		Burbank	Andrew Jackson
		the Party	John Adams -
		Control	McClellan
		Califormia Republican	Solders
		the Republican Party	Linceim
		Senate	Ulysses S. Grant
		United States	CA 915068
		Northem	|G Raise
		the new national party: 	James Gordon Bennett's
		The Republican Party	Volunteer Today
		the  Party	W. Magnolia Bivd
		House	Thomas Nast
		the Republican Party	Distribute
		National Executive  Committee	City Zip
		publican party	whica wii
		Federalists	¢ Allow
		tus	Bill Clinton
		Lincoin	¢ Reduce
		bui	Bupa Offer
		Herald	Bill Clinton's
		Burbank	Bob Dole
		New York Herald	Bill Clinton
		Party	ed eT]
		Phone-Night	Oetense
		CO Host	Baseline Revenues 1
		EEE	Dole
		the Democratic party	Bill Clinton's
		Grant	Bob Te.e's
		Congress	Economic Cumminner
		Medicaid	Clinton
		Enforce Paperwork Reduction Act	Dole
		Require IRS	-he
		RS	Robert Rubin
		Social Security	
		IRS	
		RA	
		Sociai Security	
		Job Training Reform	
		Congrasions	
		the Balanced Budge	
		a Dole Administration	
		the Balanced Budget Amendment	
		Energy Deparement	
		Commerce Department	
		CBO	
		FCC Spectrum Auction	
		Non-Detense Program Reductions	
		TE CO Additional Actions	
		RA	
		Pro-Growth Plan For Amenca’s Families	
		Social Security	
		the Internal Revenue Service	
		The Clinton Admunistration	
		Wall Street Journal	
		Congress	
		Nusignal Review	
		EZ	
		FSL	
		the Drug Enforcement Agency	
		OSHA	
		Treasury	
		EPA	
		IRS	
		FDA	
		the National Commission va Econome Gor	
