NORP	ORG	PERSON	GPE
Republicans	CFP	MARK S. PASH	Tarzana
Democratic	Congress	Job Creation - My	Mexico
Southern Californian	Certified Financial Planner	Ruth	
Pro-Business - My	the College of Financial Planning	Andrea	
Democratic	the Board of Directors	Kim	
	the AMC Cancer Research Foundation	Balboa Blvd	
	USC	CA 91316	
	Business Administration	Mark S. Pash	
	the Federal Issues Committee		
	Wells Fargo		
	Bank of America		
	the Coast Highway		
	the U.S. Army		
	the California Association for Financial Planning		
	UCLA		
	CFP		
	United Cerebral Palsy		
	PASH For CONGRESS Committee		
	FICA		
	United Jewish Welfare Fund		
	the Heart Association		
	Red Cross		
	CONGRESS		
	Pro-Choice - Totally		
