GPE	NORP	ORG	PERSON
U.S.	DEMOCRAT	UCLA	Marcos
America	Democratic	Fair Housing	Sherman
Monterey Park	Philippine	Harvard	Brad
California	Southern Californian	BRAD	Corazon Aquino
California	Democrats	the California Board of Directors	Brad Sherman
Calabasas	Democrats	the California Political Reform Act	George Brown
Santa Monica	Pro-Tem	Women Voters	Common Cause
United States		Skenen	Brad Sherman’s
Hidden Hills		BRAD SHERMAN	Brad Sherman
Israel		the American Association of Retired Persons	Tony Beilenson
Los Angeles City Council		Congress	Brad
Los Angeles		BRAD	Brad Sherman
		the House of Representatives	Sherman
		the State Board of Equalization	Pete Wilson’s
		the Board of Equalization	Brad
		California State Assembly	Pete Wilson
		California Teachers Association	Brad Sherman
		DEMOCRATS UNITE	Richard Katz
		Calabasas City Council	Leslie Devine
		POLITICAL	Herschel Rosenthal
		Los Angeles School Board	Bill Rothbard
		Ret	Tony Beilenson
		United State	Barbara Boxer
		Los Angeles City Council	Marvin Braude
		Conejo Valley Democratic Club	Michael Feuer
		California League	Dianne Feinstein
		Kathleen Connell	Fisher
		California Democratic Party	Barbara Freidman
		Congress	George Brown
		United States	Tony Beilenson 
		USA Direct	Howard Berman
		California State Senate	Julie Korenstein
		Senate	Howard Welinsky  Chair
		Conservation Voters Democratic Party of the San Fernando Valley	Sheila Kuehl
		California State Controller	Brad Sherman
			Dennis Washburn
			Gov Info
			Sherman
			Henry Waxman
			Laura Chick
			Mel Levine
