ORG	PERSON	GPE	NORP
The Patient Protection Act	Gov Info	Vacaville	Californians
HMO Casualty	Patricia Pratt	California	Californians
Unnecessary Pain	Delayed Medications	Sacramento	Californians
HMO Casualty	Chuck Idelson	San Diego	Californians
CA	William Pratt	California	Californians
Kaiser	William	Vacaville	Californians
HMO Casualty	Jamie Court	California	Californians
HMO	Jamie Court	Victorville	Janitors
RN	Chuck Idelson	North Hollywood	D.
HMO Casualty	Jamie Court	Bedridden	Californians
HMO	Brenda Pedersen	MD	Americans
HMO Casualty	Chuck Idelson	SUTTON	A.
Emergency Medical Technician	Sarah	California	Americans
the Patient Protection Act	Chuck Idelson	Gollath	Physicians
HMO	Suzanne Lobb	Santa Monica	Americans
Dawnelle	Jamie Court	California	Physicians
CA	Sth	Berkeley	Californians
HMO Casualty	Dwight	Los Angeles	Californians
HMO	Chuck Idelson	Prohibits	Californians
Mychelle	Cindie	Los Angeles	@3:52PM
HMOs	Dan	Riverside	Raina
the Patient Protection Act	Dan Lake	San Francisco	
HMOs	Daniel	California	
HMO	Jamie Court	Massachusetts	
California Nurses Association	Dawnelle	Kaiser Permanente	
RSD	Dawnelle Keys	California	
CA	Mychelle Williams	Seattle	
HMO	Goliaths	San Diego	
Kaiser	Mychelle Williams	Palo Alto Weekly	
the Department of Health Services	Chuck Idelson	Berkeley	
the Service Employees International Union	Dawnelle Keys	San Diego Union-Tribune	
HMO	Mycelle Williams's	Roseville	
Comparison of Key Provisions of The Patient Protection	Mychelle	California	
Health Services	Kit Costello	Massachusetts	
the California Supreme Court	Harvey Rosenfield	Utah	
State	Jamie Court	U.S.	
SEIU	Sth	New York Times	
the California Nurses Association	Rosenfield	California	
CALIFORNIA CONGRESS OF SENIORS	Cynthia Toussaint	Maryland	
Registered Nurses	Reflex Sympathetic Dystrophy	New Jersey	
CALIFORNIA NURSES ASSOCIATION	Rose Ann DeMoro	Boston	
AT&T	Betty Woolfson	Pennsylvania	
HMOs	Grandmother	California	
HMO	Ralph Nader	U.S.	
Consumers for  Quality Care	Kathy Olsen	Alameda	
the landmark auto	Steven	California	
Consumers and Nurses for Patient Protection	JIM FORSYTH	Los Angeles County Superior Court	
the Foundation for Taxpayer and Consumer Rights	Harvey Rosenfield	Illinois	
The California Nurses Association	Requires	California	
Rosenfield	Requi	Wisconsin	
the Patient Protection Act	profes- ston	Oregon	
the California Nurses Association	Nader	Pennsylvania	
UCLA	Ralph Nader	California	
Consumers and Nurses for Patient Protection	Rosenfield	California	
HMOs	Harvey Rosenfield	San Diego County	
HMO	Job	Los Angeles County School District	
Legislature	awey	U.S.	
EMO	Shari Roan	California	
RosenBeld	»(Testimony	America	
the Patent Protection Act	Robert Wages	San Francisco	
NS SS SSFM CALTF	Jay Greene	SAN DIEGO UNION-TRIBUNE	
the California Nurses  Association	Laura Laugesen	Santa Monica	
the Service Employees International Union	David R. Olmos	California	
HMO	Barbara Marsh	Santa Monica	
Froposition	aes faUtf	San Francisco	
Legislature	Linda Ross	America	
Orange County Register	Shari Roan	California	
Quality of Care	Michael A. Hiltzik	Network Images	
St. Louis Post-Dispatch	Debra J. Saunders	California	
Hospitals	David R. Olmos	Stockton	
P	Ross	California	
HMO	David Himmelstein	Uinte	
Assembly Health Committee	Dawn Yoshitake	CA	
PacifiCare	Himmelstein	San Francisco	
the California Medical Board’s Committee	Barbara Jean Roberts	UU	
Varivax	David Hilzenrath		
L.A. Times	Eric Larsen		
State Senate	Michael A. Hiltzik		
Prohibit	Lilia M. Reyes		
Alta Bates Medical Center	David S. Hilzenrath		
Medical Board	Require		
FDA	Christine DeMeurers		
RN	Allen R. Meyerson		
Kaiser Seeking	Pap		
U.S. Healthcare	Sabin Russell		
Pay Bonuses	Julie Appleby		
Kaiser Justice System’s Fairness Is Questioned	Craig Rose		
Harpers Magazine	Spencer Rich		
Quality Care	Steve Twedt		
Consumers	Marilyn Pon		
Daily News	Suzanne Lobb		
HMO	Kathy  Establishes strong		
State Senate Judiciary Committee	Robertson		
Consumers for Quality Care	Don Kazak		
Kaiser Permanente	Dwight		
Kaiser-Permanente	Judith Shindul-Rothschild		
L.A. Times	Suzanne Gordon		
Kaiser	Plan Expenditures Summary		
Dartmouth	Michael Hiltzik		
L.A. Times	David R. Olmos		
Health Net’s	Miami Herald		
the Robert Wood Johnson Foundation	ARTLG LES		
San Francisco Chronicle	Kurt Eichenwald		
New York Times	Michael W. Miller		
Washington Post National Weekly Edition	Joseph Masso		
HMO, Group Health Association, Inc.	Gina Kolata		
Kaiser	Gorman		
Professional	Nydia Velasquez		
the “Supreme Court	Christine Gorman		
Health Net	Beverly Woodward		
Reyes	Linda Ross		
HMO	Olmos		
L.A. Times	Michael A. Hiltzik		
HMO Slapped	Fairness Questioned		
Milliman & Robertson	Nida Engalla		
Washington Post Weekly	Harry T. Shafer		
Contra Costa Times	Michael J. Sullivan		
Milliman & Robertson, Inc.	Engalla		
Kaiser Trims Care for Well Women	David R. Olmos		
DHS	Ross		
CA	Nancy Peverini		
U.S. Census	Ken Sigelman		
the Dangerous Short Staffing of Health Facilities 	Michael A. Hiltzik		
Cardiac  Intensive Care Unit	Eric Schine		
Stanford	Robert Rosenblatt		
Pittsburgh Post-Gazette	esa contributions		
Boston Globe	Phyllis Turner		
Washington Post	David R. Olmos		
the Department of Health Services (	Nader		
the Board of Registered Nursing	Ralph Nader		
Intensive Care Unit	Michael W. Miller		
Kaiser Permanente	Jay Greene		
Sacramento Business Journal	Joseph Masso		
CNA	Protection Ac		
Alta Bates Medical Center	raha isi diet cr		
Commerce Department	Barbara Marsh		
the State Again	Leonard Abramson		
Knox-Keene Health	Alan Bond		
Knox-Keene	Jill Smolowe		
the Managed Care Model	Milt Freudenheim		
California Medical Association	David R. Olmos		
HMO	Don DeMoro		
ANew York Times	Leonard Abramson		
HMOS	Jeffrey Barbakow		
L.A. Times	Sandy Lutz		
Knox-Keene Health Plan Expenditures Summary	Richard Scrushy		
Bureau of Labor Statistics/Physicians for a National Health Program	Jay Greene		
the Medical Board of	Westcott W. Price		
Medical Board	David Jones		
HMOs	Malik Hasan HSI		
California Medical Association	Richard Scott		
PCN	LEFT		
Physician Computer Network	Suite		
Wall Street Journal	ESTHER KUTNICK		
Congress	Maggie Hallahan		
Medicaid	CA 90405		
Time	Jennifer Sauer		
Velasquez	Ralph Nader		
Brandeis University	Harvey Rosenfield		
HMO	Suite		
New York Times	Leonard Abramson		
FoxMeyer	David Jones Humana		
Washington Post National Weekly	Jeffrey Barbakow Tenet		
The Information Superhighway	Richard Scrushy		
HMOs	Westcott W. Price		
ADR	Richard Scott Columbia		
