GPE	ORG	NORP	PERSON
Sacramento	Non-Profit Organization US Postage	Californians	Gary Kuwahara
California	the California Democratic Party	Assemblywoman	Lawson Pedigo
Hermosa Beach	United Teachers	DEMOCRAT	Don Brown
Manhattan Beach	Torrance City Council		Margaret Echevarria
Sacramento	CoPs		Assemblywoman Debra Bowen
Los Angeles County	California Organization of Police and Sheriffs 		Michelle Memmott
El Segundo	El Segundo School Board		Mary Lou Weiss
California	City Council		Ruth Galanter
Hermosa	California League of Conservation Voters		J.R. Reviczky
L.A. County Professional Peace Officers Association	US Senate		Ben Traina
Los Angeles	Southern California Alliance		Elisabeth Wilson
Manhattan	National Women’s Political Caucus 		Bill Blischke
	Beach City Council		Barbara Dunsmoor
	Torrance Teachers Association		Dianne Feinstein
	School Board		Catherine McCurdy
	Association of Los Angeles		Zeke Zeidler
	California Organization		Jack Cunningham
	Lomita City Council		Redondo Beach
	Torrance School Board		Hans Hemann
	El Segundo School Board		Rebecca Sargent
	Sierra Club		Mary Rogers
	Officers Association Redondo		Robert Pinzler
	Beach School Board		Julie Oakes
	Torrance School Board		Vicki Garcia
	California School Employees Association		Jim Armstrong
			John Bowler
			Kathy Campbell
			Owen Griffith
			Marcia Cribbs
			Perry Lynn
			Michael Gordon
			Christine Sherill
			Dee Hardison
			Debra Bowen
