ORG	PERSON	GPE	NORP
Ventura Blvd	Gov Info	Israel	Jewish
Bulk Rate  USA Direct	mm	Orange County	Republican
Congress	Sherman	Los Angeles	Israeli
POLITICAL	Sherman Oaks	Santa Monica	Valley Jewish
Medicare	Pete Wilson’s	Los Angeles City Council	Guardians
the Jewish Home	Howard Berman	the State of California	Democrats
Congress	Barbara Friedman	U.S.	DEMOCRAT
California State	Richard Katz	Israel	Democrat
California State Assembly	Temple Bat Yahm	Santa Monica Mountains	Democrats
Harvard	Michael Feuer	United States	Republican
Ret	Tony Beilenson		
Social Security	Yitzak Rabin		
Senate	Brad Sherman’s		
the Board of California Common Cause	Dianne Feinstein		
the State Board of Equalization	Mel Levine		
Los Angeles City Council	Herschel Rosenthal		
Henry Waxman	Barbara Boxer		
CONGRESS	Brad		
Board	¢ Marvin Braude		
Julie Korenstein Los Angeles School Board	Brad Sherman		
UCLA	Laura Chick		
Medicare	Mark Miller		
Congress	Brad Sherman		
California Democratic Party	Tony Beilenson		
Social Security	Dianne Feinstein		
United States	Henry Waxman		
	Barbara Boxer		
	Brad Sherman		
	Howard Welinsky		
