GPE	ORG	PERSON	NORP
Newport Beach	California Ballot	CA 92660	Californians
California	State	Gov Info	S50
Newport Beach	Citizens For Economic  Progress 	Maps	§
California	Citizens for Economic Progress	Appearance	
Newport Beach	Citizens for Economic Progress	Jobs	
California	the California Ballot Pamphlet	YOUTHFUL	
Newport Beach	Non-Profit Org	CA 92660	
California	Birch Street	¢ Requires	
Newport Beach	California Taxpayers Association e Libertarian Party	Supporters Opponents	
Prohibits	State	FRIVOLOUS	
California	Citizens for Economic Progress	Jobs	
Newport Beach	California Chamber of Commerce	CA 92660	
Washington	LJ NO	WuHo SUPPORTS	
U.S.	California Ballot Pamphlet	¢	
California	Faciities Bonn AcT	Supporters Opponents	
Newport Beach	Sierra Club	Zz s Oo	
California	VETERANS	Jobs	
Newport Beach	General Fund	cS	
Newport Beach	Birch Street	CA 92660	
	California Farm Bureau Federation	Raise	
	League of Women Voters	el RS 1S	
	Limits	¢	
	State	Supporters Opponents	
	Citizens for Economic Progress	Jobs	
	California Chamber of Commerce	CA 92660	
	Prohibits Legislature	Dianne Feinstein	
	Association for California Tort Reform	Dan Lungren	
	California Ballot Pamphlet	REPEALS GIFT	
	Trial Lawyers ¢ National Federation of Independent Business - California	Sacramento Bee	
	Birch Street	William Lerach	
	Legislature	Bob Dole	
	Allow Legislature	Bill Clinton	
	Prohibits	Supporters Opponents	
	the Economy  Increase	Jobs	
	Congress	Pete Wilson	
	State	CA 92660	
	Small Business Survival Committee	marijuana	
	Citizens for Economic Progress	Dianne Feinstein	
	California Chamber of Commerce	Dan Lungren	
	National Federation of Independent Business	Bob Dole	
	California Ballot Pamphlet	Bill Clinton	
	oO &	¢ Higher	
	Birch Street	¢ Allow	
	AFL-CIO e	Ballot Pamphlet	
	Exempts	ZEsE Bog	
	Assn	Jobs	
	State	Faseees	
	Limits	CA 92660	
	Citizens for Economic Progress	Bas Es	
	Chamber of Commerce	Soy	
	LJ NO	Fig	
	San Francisco Chronicle	¢	
	California Ballot Pamphlet	Supporters Opponents	
	San Diego Securities	Jobs	
	Birch Street	CA 92660	
	State	Joel Fox	
	Probably	Lee Phelps	
	EL	WuHo SUPPORTS	
	Citizens for Economic Progress	Gift	
	DRUNK	Restricts Lobbyists	
	California Ballot Pamphlet	Marijuana	
	The Drug Policy Foundation	CA 92660	
	FDA	Honoraria Limits	
	Birch Street	Voter Approval	
	The California Medical Association		
	Organization of 		
	State		
	Citizens for Economic Progress		
	Prop		
	California Chamber of Commerce		
	Birch Street		
	California Healthcare Association		
	California Taxpayers Association		
	California Police Chiefs’ Assn		
	State		
	Citizens for Economic Progress		
	California Chamber of Commerce		
	¢ National Federation of Independent Supporters Opponents Business		
	California Fire Chiefs’ Assn		
	Prohibit		
	California Ballot Pamphlet		
	CJ NO		
	TAXES		
	Birch Street		
	Eliminates		
	California Taxpayers Association		
	League of Women Voters		
	California Ballot		
	State		
	Citizens for Economic Progress		
	Initiative Statute		
	Birch Street		
	Uninsured Motorists		
	TITLE		
	Veterans’ Bond Act of 1996		
