GPE	NORP	ORG	PERSON
America	American	the Department of Justice	Clinton
WASHINGTON	Kassebaum	Council of Economic Advisors	GorE
	Americans	GENERAL COMMITTEE	GORE
	Americans	White House	Bill Clinton
	American	Energy, Office of Management and Budget	Clinton
		the White House Office for Women’s Initiatives & Outreach	Reagan
		Violence Against Women Office	Bush
		P.O. Box	Pell Grants
		the Interagency Council on Women’s Business Enterprise	Crime Bill
		Administration	Violence Hotline
		the National Action Plan on Breast Cancer	Clinton
		EITC	tom
		the Personal Responsibility and Work Opportunity	Gore
		Medicaid	Brady
		the Earned Income Tax Credit	
		Expanding Access to Quality Health Care  Revoking the	
		the Medicare Hospital Insurance Trust Fund	
		Family Planning Program	
		the National Institutes of Health	
		the Medicare Mammography Campaign	
		Medicaid	
		AmeriCorps	
		Medicare	
		the Women, Infants and Children (WIC) Program	
		Signing the School	
		The Administration	
		Technology Literacy Challenge Fund	
		Medicaid	
		Medicare	
		Supreme Court	
