GPE	NORP	ORG	PERSON
California	http//www.prop210.org	California Small Business Owners Alliance	Flannery C. Hauck
San Francisco	Asian	California Labor Federation	Richard Holober
Los Angeles		California School Employees Association	John F. Henning
Washington		California Democratic Party	Hilda Solis Chair
Massachusetts		AFL-CIO	Bob Johnson
Montana		California Teachers Association	Isaac Shapiro
New Jersey		Suite	Alan Krueger
Missouri		National Organization for Women California Council of Churches	David Card
Pennsylvania		SOUTHERN CALIFORNIA OFFICE	
California		Rainbow Coalition 	
Oregon		State	
		California Women’s Law Center Equal Rights Advocates	
		Sweatshop Watch	
		National Council of Jewish Women Consumer Attorneys	
		Board of Directors	
		the U.S. Department of Health	
		Center on Budget	
		Department of Industrial Relations	
		California Labor Federation	
		Nineteen per cent	
		Policy Priorities	
		Labor Relations Review	
		Senate Office of Research	
		Memo from Department of Social Services	
		Princeton University	
		the American Economics Association	
		American Economic Review	
		The Department of Social Services	
		Economic Policy Institute	
		Aid to Families with Dependent Children	
