GPE	ORG	PERSON	NORP
Sacramento	NOY	Gov Info	Assemblywoman
California	Farmers Insurance	Quackenbush	Hispanic
California	Allstate	John C. Gamboa	Californians
California	the Greenlining Institute	Peter Jennings	QUACKENBUSH
De Long	Allstate Insurance Company and Farmers Insurance Group Agents	De Long	Californians
Oklahoma	the State of California	Amberg	Californians
California	Prop	Quackenbush	Quackenbush
Sacramento	Consumer's Union	Dana Mitchell	Californians
Sacramento	State	Ina De Long	
California	Ballot Argument	Ina De Long	
Sacramento	Prop	Quackenbush	
California	Quackenbush	Dana Mitchell	
City and County	Insurance	John Gamboa	
California	the Greenlining Institute  Marguerite Archie-Hudson	Harvey Rosenfield	
	State Farm	De Long	
	United Policyholders	County	
	De Long	Chuck Quackenbush	
	the California State Legislature	Chuck Quackenbush’s	
	State Farm Insurance	Chuck Quackénbush’s	
	Prop		
	Consumer & Community Organizations Opposed		
	California Democratic Party		
	California Congress of Seniors 		
	Insurance		
	windfall--		
	Suite		
	CA 95916		
	Campaign Coordinator		
	DEFEAT		
	the Proposition 103 Enforcement Project		
	Insurance		
	CA		
	the No on Proposition 213		
	Suite		
	Consumers Against No Fault		
	Quackenbush's Proposition 213		
	The Quackenbush Initiative		
	the Greenlining Institute		
	Fault		
	United Policyholders		
	Campaign Coordinator		
	DRUNK		
	Legislative Analyst		
	Califomia		
	the Califomia Civil Code		
	the Honorable Secratary of State of California		
	State		
	The Personal Responsibility Act of 1996		
	UNINSURED		
	Nationwide Mutual Insurance		
	Association of California Insurance Companies		
	Zenith-Calfarm Inc.		
	Fireman’s Fund		
	Fidelity National Title Insurance		
	Scottsdale Insurance		
	Zenith Insurance Co.		
	Alliance of American Insurance Co.		
	Transamerica		
	Alfa Mutual Insurance		
	The Pacific Rim Assurance		
	Insco Insurance Services		
	Farmers Insurance Group of Companies		
	Financial Pacific Insurance		
	Interline Insurance Services		
	Fremont Compensation Insurance		
	Zurich Insurance		
	National Insurance Group		
	Independent Insurance Agents		
	Surety Company of the Pacific 28,000		
	Consumer Action INA DELONG		
	United Policyholders  Political		
	the No-Fault		
	No-Fault		
	Property Managers Insurance Service		
	Arrowhead General Insurance Agency		
	Insurance		
	Kramer-Wilson Company Insurance		
	CNA Financial		
	Progressive Casualty		
	Pacific Employers Insurance		
	California Baeaaity Indemnity Exchange		
	Initiative Statute		
	eee OAleaes Ta  Rebuttal to Argument		
	United Policyholders		
	Hore		
	STILL		
	Pacific Pioneer Insurance		
	Argonaut Insurance		
	KEN McELDOWNEY 		
	Western Pioneer Insurance		
	Amwest Insurance Group		
	CA Casualty Management 75,000		
	Fireman’s Fund Insurance		
	Safeco Insurance		
	Farmers Employees and Agents		
	TIG Insurance		
