GPE	NORP	ORG	PERSON
M.D.	Californians	HEMATOLOGY / SUBSPECLALTY BOARD OF MEDICAL	Surre 300
SacraMENTO	Appetite	Harvard University	Lester Grinspoon
I.Q.‘8s		Marysvitte	Kool
Sacramento		AMERICAN BOARD OF INTERNAL MEDICINE / SUBSPECIALTY BOARD OF	M.D. Deverine W. Ona
HO		PLAace	M.D. Paut J. Rosenserc
El Dorado County Medical		SACRAMENTO CENTER FOR HEMATOLOGY & MEDICAL	Davis
		L Street	Rosert S. Mitter
		M.D. AnTOINE	Wituiam M. Keane
		Grinspoon	M.D. Davin T. Harrison
		Court	CA 95901
		CA 95816	Joun J. Fisher
		FDA	Vincent Cacatano
		Marysvitte/Yusa City	marijuana
		the Department of Psychiatry	Net W. Curr
		American Academy of Ophthalmology	CA 95695 Jackson
		THC	CA 95642
		National Multiple Sclerosis Society	Marijuana Therapy
		American Glaucoma Society	marijuana
		Grinspoon	Megace
		marijuana	Marinol
		Duragesic Patches	marijuana
		the National Organization To Reform Marijuana Laws	Marijuana
		UC Davis	J. FISHER
		The Forbidden Medicine	
		Society	
		M.D., F.A.C.P.	
		CMA	
