GPE	NORP	ORG	PERSON
Los Angeles County	Republicans	Medicare	Gingrich
L.A. County	Democrat	U.S. House of Representatives	Al Gore
Los Angeles County		Assembly - District	Clinton
Los Angeles		POLITICAL	Robert Goldsworthy
U.S.		USA Direct	Heath
		California Committee for Choice Bulk Rate	Danaea
		CA 90017	Carol Kwan
		California Committee for Choice CANDIDATE VOTER GUIDE	Bill Clinton
			Karl Jaeger
			Jane
			Feinstein
			Dan Walker
			Don Knabe
			Don Knabe’s
			Gov Info
			Appearance
			County Departments
			S. Figueroa St.
			Suite
			Supervisor
