GPE	ORG	PERSON	NORP
Los Angeles City Council	OUR COMMUNITY	Howard Berman	Democrat
Los Angeles	Congress	Barbara Friedman	Republican
U.S.	California Democratic Party	Richard Katz	
Santa Monica	Mel Levine U.S. Congress	Michael Feuer	
	California State Assembly	Tony Beilenson	
	Ret	Dianne Feinstein	
	UNITED STATES	Herschel Rosenthal	
	Los Angeles School Board	Marvin Braude	
	California League	Barbara Boxer	
	California Teachers Association	Julie Korenstein	
	California State Senate	Laura Chick	
	Los Angeles City Council	Gov Info	
	Henry Waxman	Brad Sherman	
	CONGRESS	Tony Beilenson	
	POLITICAL		
	Medicare		
	the Board of California Common Cause		
	Congress		
	the State Board of Equalization		
	Social Security		
	United States		
