NORP	PERSON	GPE	ORG
Democrat	Barry Gorbon	OA	Courage
Juris	Steve Allen	Albany	the US Senate
American	Barry	n’t	Congress
American	Jackie Gleason	California	Loyola Law School
Democrat	Nuttin	Los Angeles	California State Bar Exam
	Milton Berle	California	UCLA
	Barry Gordon	Barry	BA
	Nick	Pasadena	Congress
	Teddy Buckner	Apartheid	Coalition for Health Security
	JOE DARENSBOURG :	U.S.	the Screen Actors Guild
	Barry		Screen
	Kennedy		May Co.
	Jason Robards		the Boards of the Partnership for a Drug Free America
	Barry		United Hospital Fund
	Barry GorDON 		Congress
	Cal State		United Nations Special Committee
	Summa Cum Laude		United Service Organization (USO) Board of Governors
	Barry		the House of  Representatives
	Barry Gornon		Glendale
	Guild		California Democratic Party
	Clinton		California Federation of Labor
	Barry		US Congress
	Murphy		COPE
	Barry GorDON 		League of Conservation Voters
	Hollywood Supports		California Federation of Teachers
	Barry Gordon		National Organization for Women
	Gail		
	CA 91203		
	Barry Gordon		
