GPE	ORG	PERSON	NORP
U.S.	Paramount	Gov Info	Americans
SANTA MONICA	POLITICAL	Elect Donna Alvarez  An Independent Community	Kiwanian
Santa Monica	the City Council	CA Permit No.	
Santa Monica City Council	Council	Donna	
Santa Monica’s	Police/Fire Department	Monica	
Santa Monica	CA 90404	Donna Dailey Alvarez	
Santa Monica Christian  Towers	City Council	Alvarez	
	Benson-Brown	Donna	
	VOTE	DONNA ALVAREZ	
	Steering Committees	Citizen Housing	
	Vote Independent	DONNA DAILEY ALVAREZ’S	
	the Kiwanis Scholarship Committee	Donna Dailey Alvarez	
	City Council	Vote Donna Dailey Alvarez	
		Alvarez	
