ORG	GPE	NORP	PERSON
POLITICAL	Santa Monica	Democrat	Zev Yaroslavsky
the Board of	California	Republican	Pete Wilson’s
Assembly	WILL	Democratic	Barbara Friedman
Medicare	America	DEMOCRATS	Richard Katz
Congress	Santa Monica Mountains	Democrats	Brad Sherman
the State Board of Equalization Brad Sherman	Washington	Republican	Laura Chick
Mountains	3rd District		Michael Feuer
middie	Israel		Tony Beilenson
UNITED STATES	United States		Newt Gingrich
Social Security	the United States		TONY BEILENSON
Representatives Henry Waxman	Los Angeles City Council		Dianne Feinstein
CONGRESS	California		Sheila Kuehl
Council	Los Angeles County		Howard Berman
California League of Conservation Voters			Barbara Boxer
Conejo Valley Democratic Club			Brad
Medicare			Brad Sherman
Congress			Supervisor
California Democratic Party			Tony Beilenson United States
Democratic Party			Controller
California Federation of Labor			C00308742
California State Assembly			Henry Waxman
California Teachers Association			Barbara Boxer
UNITED STATES			¢ Dianne Feinstein United State
Social Security			Howard Berman United States
Senate			Brad Sherman
Los Angeles City Council			Laura Chick
AFL-CIO / COPE			Michael Feuer
Julie Korenstein Los Angeles School Board			Tony Beilenson
Kathleen Connell			Herschel Rosenthal
			¢ Gray Davis
			Bill Rothbard Former Chair
			¢ Marvin Braude
			Richard Katz
			Sherman
			Howard Welinsky Chair
			Sheila Kuehl
			Leslie Devine
			Barbara Friedman
			Sherman Oaks
