GPE	ORG	PERSON
Santa Monica	Consumers and Nurses for Patient Protection/	Ralph Nader
California	CA 90405	Suite
California	the Department of Health Services	CA 90405
San Francisco	HMO	Maggie Hallahan
Network Images	The California Nurses Association	Harvey Rosenfield
Santa Monica	Hospitals	Jennifer Saver
America	Public Media Center	Malik Hasan HSI
California	Consumers and Nurses for Patient Protection/	Westcott W. Price
	the health insurance company	Employer
	HMOs	Richard Scrushy
	Please	David Jones Humana
	Taxpayer and Consumer Rights	Jeffrey Barbakow Tenet
	the California Nurses Association	Leonard Abramson
	FHP	Richard Scott Columbia
	Alan Hoops PacifiCare Health Systems	
	Consumers and Nurses for Patient Protection	
	The U.S. Health Care Industry	
	Institute for Health & Socio-Economic Policy	
	TakeCare	
	Daniel Crowley Foundation Health Corp.	
	U.S. Healthcare	
	Health Net	
