GPE	NORP	ORG	PERSON
SAN FRANCISCO	Physicians	the Board of Trustees	McCleary
MD	Californians	the National Institutes of Health	Jack E. McCleary
MD		CMA	Marijuana Use
		the CALIFORNIA MEDICAL AssociATION News Bureau	Ron Lopp
		CMA Board of Trustees	marijuana
		The California Medical Association	Lewin
		Schedule II	Jack Lewin
		the CMA Board of Trustees	
		Prop	
		the California Nurses Association	
		the CMA Board	
		CNA	
		CMA	
		CMA Executive	
		the Service Employees International Union	
