GPE	ORG	PERSON	NORP
Santa Monica	Consumers and Nurses for Patient Protection/	CA 90405	Ra
Us	CARD	CA 90405	
Santa Monica	WEDD	Jennifer Sauer	
San Francisco	California Nurses Association	Ralph Nader	
Hallahan	Public Media Center	Employer	
America	the Department of Health Services	Harvey Rosenfield	
California	Harvey Rosenfield  Foundation for Taxpayer	Suite	
Network Images	the health insurance company	Leonard Abramson	
Santa Monica	Hospitals	David Jones Humana	
California	PSS	Richard Scrushy	
Columbia	COPY	Westcott W. Price	
	LJ	CA 90405	
	HMOs	Richard Scott	
	Cover	Jeffrey Barbekow Tenet	
	STATE		
	HMO		
	The California Nurses Association		
	Consumers and Nurses for Patient Protection		
	DISTRIBUTE		
	the California Nurses Association		
	Contributions		
	FHP		
	U.S. Healthcare		
	Malik Hasan SI		
	Daniel Crowley Foundation Health Corp.		
	Health Net		
	Alan Hoops PacifiCare Health Systems		
	TakeCare		
	Consumers and Nurses for Patient Protection/		
