GPE	ORG	PERSON
California	the health insurance company	Maggie Hallahan
Network Images	Hospitals	Jennifer Sauer
San Francisco	Public Media Center	Ralph Nader
America	F	Harvey Rosenfield
Santa Monica	HMO	Tieatth
California	The California Nurses Association	Suite
	the Department of Health Services	Leonard Abramson
	Consumers and Nurses for Patient Protection/	zip DAY
	HMOs	David Jones Humana
	Please	Richard Scrushy
	U.S. Healthcare	Westcott W. Price
	FHP	Richard Scott Columbia
	Taxpayer and Consumer Rights	Lg N. Real Patient Protection
	Health Net	Malik Hasan HSI
	Daniel Crowley Foundation Health Corp.	Employer
	Alan Hoops PacifiCare Health Systems	Jeffrey Barbekow Tenet
	TakeCare	
	CA 90405	
	Consumers and Nurses for Patient Protection	
	ADDRESS	
	the California Nurses Association	
